Filtering the log data using "process == "Runner""
Timestamp                       (process)[PID]    
2025-10-25 22:31:55.014433+0600  localhost Runner[8546]: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2025-10-25 22:31:55.017296+0600  localhost Runner[8546]: (libxpc.dylib) [com.apple.xpc:connection] [0x6000016bc000] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2025-10-25 22:31:55.021562+0600  localhost Runner[8546]: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
2025-10-25 22:31:55.022270+0600  localhost Runner[8546]: (RunningBoardServices) [com.apple.runningboard:connection] Sending handshake request attempt #1 to server
2025-10-25 22:31:55.023267+0600  localhost Runner[8546]: (RunningBoardServices) [com.apple.runningboard:connection] Creating connection to com.apple.runningboard
2025-10-25 22:31:55.040960+0600  localhost Runner[8546]: (libMobileGestalt.dylib) No persisted cache on this platform.
2025-10-25 22:31:55.061245+0600  localhost Runner[8546]: (libxpc.dylib) [com.apple.xpc:connection] [0x7fa4d4c06ed0] activating connection: mach=false listener=false peer=false name=(anonymous)
2025-10-25 22:31:55.061284+0600  localhost Runner[8546]: (libxpc.dylib) [com.apple.xpc:connection] [0x6000016b4000] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
2025-10-25 22:31:55.075603+0600  localhost Runner[8546]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2025-10-25 22:31:55.076614+0600  localhost Runner[8546]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2025-10-25 22:31:55.076567+0600  localhost Runner[8546]: (CoreFoundation) Created Activity ID: 0x801a70, Description: Loading Preferences From User Session CFPrefsD
2025-10-25 22:31:55.077990+0600  localhost Runner[8546]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created new background assertion <BKSProcessAssertion: 0x600000aae210>
2025-10-25 22:31:55.084807+0600  localhost Runner[8546]: (RunningBoardServices) Created Activity ID: 0x801a71, Description: didChangeInheritances
2025-10-25 22:31:55.089845+0600  localhost Runner[8546]: (RunningBoardServices) [com.apple.runningboard:connection] Handshake succeeded
2025-10-25 22:31:55.089917+0600  localhost Runner[8546]: (RunningBoardServices) [com.apple.runningboard:connection] Identity resolved as app<com.edurise.edurise((null))>
2025-10-25 22:31:55.090897+0600  localhost Runner[8546]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Incrementing reference count for background assertion <BKSProcessAssertion: 0x600000aae210>
2025-10-25 22:31:55.094733+0600  localhost Runner[8546]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created background task <_UIBackgroundTaskInfo: 0x600003cbe780>: taskID = 1, taskName = Launch Background Task for Coalescing, creationTime = 289070 (elapsed = 0).
2025-10-25 22:31:55.102305+0600  localhost Runner[8546]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UIApplicationSceneKeyboardSettings on FBSSceneSettings
2025-10-25 22:31:55.120343+0600  localhost Runner[8546]: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2025-10-25 22:31:55.121433+0600  localhost Runner[8546]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneOcclusionSettings> on FBSSceneSettings
2025-10-25 22:31:55.121992+0600  localhost Runner[8546]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneInterfaceProtectionSceneSettings> on FBSSceneSettings
2025-10-25 22:31:55.124456+0600  localhost Runner[8546]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UIHomeAffordanceHostSceneSettings> on FBSSceneSettings
2025-10-25 22:31:55.125192+0600  localhost Runner[8546]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISystemShellSceneHostingEnvironmentSettings on FBSSceneSettings
2025-10-25 22:31:55.126283+0600  localhost Runner[8546]: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
2025-10-25 22:31:55.127262+0600  localhost Runner[8546]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneRenderingEnvironmentSettings on FBSSceneSettings
2025-10-25 22:31:55.128901+0600  localhost Runner[8546]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneTransitioningHostSettings> on FBSSceneSettings
2025-10-25 22:31:55.135238+0600  localhost Runner[8546]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingContentSizePreferenceClientSettings> on FBSSceneClientSettings
2025-10-25 22:31:55.135477+0600  localhost Runner[8546]: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.workspace-service
2025-10-25 22:31:55.135598+0600  localhost Runner[8546]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneHostingTraitCollectionPropagationSettings on FBSSceneSettings
2025-10-25 22:31:55.136848+0600  localhost Runner[8546]: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace registering source: com.apple.frontboard.systemappservices
